2020/06/01 12:00:20.498077,0.00264,13114.3,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00264202,1709.31,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.0026434,398.755,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.0026436,1760.24,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00265,23301.5,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.002651,2135.39,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00265387,3518.91,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.002664,1419.4,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00266666,386,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.002678,280060,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00268,9509.64,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00268058,1000,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.002685,999100,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00268506,1455.14,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00268511,559.751,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00268979,839898,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00269,20000,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00269413,1760.24,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.002696,36084,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.0026966,2792.22,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.002697,376.72,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00269888,277893,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.0027,5275.82,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00270143,449.135,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00272,10000,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00272649,445.007,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00273405,369.414,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00273418,5000,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00274465,1760.24,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00275,1013,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.002758,368.388,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.00276,271739,DOGE/USDT,bidsale
2020/06/01 12:00:20.498077,0.0248448,0.0585123,ETH/BTC,bidsale
2020/06/01 12:00:20.498077,0.0248448,0.0585123,ETH/BTC,bidsale
2020/06/01 12:00:20.498077,0.0248448,0.0585123,ETH/BTC,bidsale
2020/06/01 12:00:20.498077,0.0248448,0.0585123,ETH/BTC,bidsale
2020/06/01 12:00:20.498077,0.0248448,0.0585123,ETH/BTC,bidsale
